"date","open","close","increase","increPer","low","high","volume","amount","other","MA5","MA10","MA20","MA30","MA40","MA50","MA6"
"2015-05-15",4366.82,4308.69,-69.62,"-1.59%",4278.55,4366.82,439706208,66596564,"-",4359.51,4312.41,4352.53,4240.82,4104.55,3956.06,3839.43
"2015-05-18",4277.9,4283.49,-25.2,"-0.58%",4260.51,4324.83,380057440,59455952,"-",4349.49,4292.72,4352.34,4256.08,4122.08,3976.76,3857.93
"2015-05-19",4285.78,4417.55,134.06,"3.13%",4285.78,4418.4,436735232,69381256,"-",4352.76,4304.6,4362.37,4274.53,4142.09,4000.28,3878.16
"2015-05-20",4434.98,4446.29,28.74,"0.65%",4432.28,4520.54,514106208,80608056,"-",4366.87,4326.3,4370,4290.7,4161.05,4023.16,3898.56
"2015-05-21",4456.44,4529.42,83.13,"1.87%",4438.26,4530.48,464996512,72908056,"-",4397.09,4368.02,4376.55,4308.52,4182,4048.03,3919.93
"2015-05-22",4584.98,4657.6,128.17,"2.83%",4562.99,4658.27,655591296,100717320,"-",4466.87,4413.19,4388.7,4331.85,4206.92,4075.36,3943.75
"2015-05-25",4660.08,4813.8,156.2,"3.35%",4656.83,4814.67,682461376,107929560,"-",4572.93,4461.21,4409.71,4357.84,4235.22,4104.65,3969
"2015-05-26",4854.85,4910.9,97.1,"2.02%",4779.08,4911.69,704892864,113850936,"-",4671.6,4512.18,4428.88,4384.14,4265.71,4135.41,3995.68
"2015-05-27",4932.85,4941.71,30.82,"0.63%",4857.06,4958.16,681165376,111626184,"-",4770.69,4568.78,4452.16,4411.01,4294.59,4165.26,4022.44
"2015-05-28",4943.74,4620.27,-321.45,"-6.50%",4614.24,4986.5,782964544,124792600,"-",4788.86,4592.97,4459.34,4428.88,4316.4,4187.61,4045.06
"2015-05-29",4603.47,4611.74,-8.52,"-0.18%",4431.56,4698.19,611262400,95536560,"-",4779.68,4623.28,4467.85,4442.78,4336.44,4208.3,4067.26
"2015-06-01",4633.1,4828.74,216.99,"4.71%",4615.23,4829.5,593389056,93445544,"-",4782.67,4677.8,4485.26,4460.83,4361.51,4233.23,4093.6
"2015-06-02",4844.7,4910.53,81.79,"1.69%",4797.55,4911.57,623748096,99874576,"-",4782.6,4727.1,4515.85,4483.95,4387.68,4259.09,4121.42
"2015-06-03",4924.38,4909.98,-0.55,"-0.01%",4822.44,4942.06,611453824,101018000,"-",4776.25,4773.47,4549.89,4504.49,4411.39,4283.54,4148.21
"2015-06-04",4912.95,4947.1,37.12,"0.76%",4647.41,4947.96,674952384,105227024,"-",4841.62,4815.24,4591.63,4522.78,4435.2,4308.65,4175.9
"2015-06-05",5016.09,5023.1,75.99,"1.54%",4898.07,5051.63,772240832,123230064,"-",4923.89,4851.79,4632.49,4543.06,4461.84,4335.9,4204.77
"2015-06-08",5045.69,5131.88,108.78,"2.17%",4997.48,5146.95,855035072,130992456,"-",4984.52,4883.59,4672.4,4567.67,4489.28,4364.89,4234.48
"2015-06-09",5145.98,5113.53,-18.35,"-0.36%",5042.96,5147.45,729893824,115080864,"-",5025.12,4903.86,4708.02,4587.21,4514.07,4393.34,4263.49
"2015-06-10",5049.2,5106.04,-7.5,"-0.15%",5001.49,5164.16,596969024,100642824,"-",5064.33,4920.29,4744.53,4608.2,4538.33,4419.73,4291.1
"2015-06-11",5101.44,5121.59,15.56,"0.30%",5050.76,5122.46,563990528,97467056,"-",5099.23,4970.42,4781.7,4629.7,4564.27,4447.2,4318.08
"2015-06-12",5143.34,5166.35,44.76,"0.87%",5103.4,5178.19,625627904,106016744,"-",5127.88,5025.88,4824.58,4653.86,4588.56,4474.33,4344.56
"2015-06-15",5174.42,5062.99,-103.36,"-2.00%",5048.74,5176.79,637803968,106499200,"-",5114.1,5049.31,4863.56,4673.28,4607.95,4499.07,4369.24
"2015-06-16",5004.41,4887.43,-175.56,"-3.47%",4842.1,5029.68,550801408,89542056,"-",5068.88,5047,4887.05,4692.9,4624.71,4519.54,4390.41
"2015-06-17",4890.55,4967.9,80.47,"1.65%",4767.22,4983.66,537101120,83026672,"-",5041.25,5052.79,4913.13,4717.52,4641.57,4539.67,4411.75
"2015-06-18",4942.52,4785.36,-182.54,"-3.67%",4780.87,4966.77,507440896,78584504,"-",4974.01,5036.62,4925.93,4739.96,4651.24,4555.48,4429.98
"2015-06-19",4689.93,4478.36,-306.99,"-6.42%",4476.5,4744.08,452689632,68545816,"-",4836.41,4982.14,4916.97,4749.04,4652.83,4565.9,4443.6
"2015-06-23",4471.61,4576.49,98.13,"2.19%",4264.77,4577.94,473526112,69361720,"-",4739.11,4926.6,4905.1,4757.14,4657.4,4576.74,4458.51
"2015-06-24",4604.58,4690.15,113.66,"2.48%",4552.13,4691.77,543003712,81506272,"-",4699.65,4884.27,4894.06,4766.77,4661.47,4588.11,4475.16
"2015-06-25",4711.76,4527.78,-162.37,"-3.46%",4483.55,4720.7,572797568,86537976,"-",4611.63,4826.44,4873.37,4771.84,4662.76,4595.95,4487.52
"2015-06-26",4399.93,4192.87,-334.91,"-7.40%",4139.53,4456.9,565217920,78783568,"-",4493.13,4733.57,4852,4765.65,4655.67,4598.13,4494.93
"2015-06-29",4289.77,4053.03,-139.84,"-3.34%",3875.05,4297.47,673786368,90427136,"-",4408.06,4622.24,4824.06,4757.13,4645.95,4595.29,4498.98
"2015-06-30",4006.75,4277.22,224.19,"5.53%",3847.88,4279.97,709176576,94152464,"-",4348.21,4543.66,4796.48,4756.92,4640.87,4595.09,4506.5
"2015-07-01",4214.15,4053.7,-223.52,"-5.23%",4043.37,4317.05,598769408,83807088,"-",4220.92,4460.29,4753.64,4744.8,4634.75,4591.82,4509.66
"2015-07-02",4058.62,3912.77,-140.93,"-3.48%",3795.25,4080.39,586015616,73600680,"-",4097.92,4354.77,4703.78,4727.01,4626.83,4584.21,4508.85
"2015-07-03",3793.71,3686.92,-225.85,"-5.77%",3629.56,3927.13,548163072,64805412,"-",3996.73,4244.93,4640.77,4698.93,4616.2,4569.98,4503.72
"2015-07-06",3975.21,3775.91,89,"2.41%",3653.04,3975.21,831139264,94342040,"-",3941.3,4174.68,4578.41,4669.54,4605.45,4557.2,4500.7
