"date","open","close","increase","increPer","low","high","volume","amount","other","MA5","MA10","MA20","MA30","MA40","MA50","MA6"
"2018-03-30",10776.71,10868.66,112.74,"1.05%",10766.53,10883.05,99694568,14966661,"-",10719.07,10803.94,10948.21,10856.78,10827.97,10950.39,11014.93
"2018-04-02",10887.47,10852.95,-15.7,"-0.14%",10835.71,10950.22,116543408,17638536,"-",10776.79,10782.39,10947.07,10875.48,10815.47,10941.3,11011.8
"2018-04-03",10718.43,10754.29,-98.66,"-0.91%",10667.33,10783.93,100237544,14344176,"-",10772.5,10750.04,10934.39,10888.54,10802.36,10928.65,11004.74
"2018-04-04",10778.86,10684.56,-69.73,"-0.65%",10678.94,10829.82,88993936,13217881,"-",10783.28,10720.44,10923.37,10896.96,10790.48,10916.26,10994.81
"2018-04-09",10655.07,10653.38,-31.18,"-0.29%",10571.16,10725.11,85326408,12162062,"-",10762.77,10698.05,10905.08,10896.78,10785.21,10902.93,10983.34
"2018-04-10",10671.68,10765.62,112.24,"1.05%",10628.24,10765.62,92275600,12888835,"-",10742.16,10730.62,10883.62,10900.2,10781.22,10892.31,10973.72
"2018-04-11",10796.5,10808.37,42.76,"0.40%",10786.84,10856.44,89914360,12669944,"-",10733.24,10755.02,10857.72,10897.3,10780.52,10878.22,10964.15
"2018-04-12",10797.35,10726.96,-81.41,"-0.75%",10720.83,10825.66,75282680,10503031,"-",10727.78,10750.14,10832,10894.61,10789.26,10861.65,10952.15
"2018-04-13",10789.77,10687.02,-39.94,"-0.37%",10670.65,10825.67,72453768,10267786,"-",10728.27,10755.77,10809.37,10889.89,10800.26,10843.24,10939.65
"2018-04-16",10660.69,10621.79,-65.23,"-0.61%",10540.69,10704.39,94994168,13094983,"-",10721.95,10742.36,10782.28,10879.18,10806.49,10824.63,10925.61
"2018-04-17",10636.88,10395.16,-226.63,"-2.13%",10390.05,10669.15,95403800,13518631,"-",10647.86,10695.01,10749.48,10863.81,10816.33,10801.37,10907.83
"2018-04-18",10477.52,10491.15,95.99,"0.92%",10249.87,10514.74,110977720,15202707,"-",10584.42,10658.83,10720.61,10850.99,10821.32,10784.14,10894.22
"2018-04-19",10502.36,10598.35,107.2,"1.02%",10485.41,10646.7,101039392,14335831,"-",10558.69,10643.24,10696.64,10837.34,10827.21,10770.53,10881.08
"2018-04-20",10571.99,10408.91,-189.44,"-1.79%",10392.69,10619.17,97119424,13221431,"-",10503.07,10615.67,10668.06,10820.8,10826.64,10755.52,10866.16
"2018-04-23",10416.78,10330.63,-78.28,"-0.75%",10228.09,10471.21,94865488,12589622,"-",10444.84,10583.4,10640.72,10797.85,10818.43,10744.84,10849.67
"2018-04-24",10325.51,10556.82,226.19,"2.19%",10325.51,10556.82,97559808,13249126,"-",10477.17,10562.52,10646.57,10776.58,10815.78,10737.48,10837.35
"2018-04-25",10503.94,10547.1,-9.72,"-0.09%",10488.87,10579.18,86879296,12153689,"-",10488.36,10536.39,10645.7,10750.61,10807.07,10731.7,10821.25
"2018-04-26",10495.03,10292.12,-254.98,"-2.42%",10290.37,10508.01,91538840,13337107,"-",10427.12,10492.91,10621.52,10718.97,10794.19,10729.99,10800.2
"2018-04-27",10353.02,10324.47,32.35,"0.31%",10239.97,10382.77,82734536,12325044,"-",10410.23,10456.65,10606.21,10691.8,10781.58,10731.54,10778.81
"2018-05-02",10356.19,10342.85,18.38,"0.18%",10283.52,10433.28,77284504,11100579,"-",10412.67,10428.76,10585.56,10664.44,10766.57,10730.94,10758.65
"2018-05-03",10329.16,10458.62,115.77,"1.12%",10228.26,10459.38,91258584,12184557,"-",10393.03,10435.1,10565.06,10644.69,10756.63,10740.09,10740.33
"2018-05-04",10428.85,10426.19,-32.43,"-0.31%",10411.83,10490.06,70070320,10262055,"-",10368.85,10428.61,10543.72,10623.28,10745.39,10742.77,10724.89
"2018-05-07",10456.43,10626.51,200.32,"1.92%",10450.49,10626.51,81889384,12219540,"-",10435.73,10431.42,10537.33,10608.23,10735.86,10748.06,10714.02
"2018-05-08",10632.11,10707.8,81.29,"0.76%",10630.58,10721.98,85200080,12496427,"-",10512.39,10461.31,10538.49,10599.14,10730.93,10753.57,10706.48
"2018-05-09",10693.21,10689.07,-18.73,"-0.17%",10639.92,10705.15,68833096,9757725,"-",10581.64,10497.16,10540.28,10592.87,10722.68,10754.18,10703.56
"2018-05-10",10706.73,10729.77,40.7,"0.38%",10651.87,10742.64,76197664,10896528,"-",10635.87,10514.45,10538.48,10602.53,10711.05,10755.52,10700.31
"2018-05-11",10748.89,10634.3,-95.47,"-0.89%",10634.23,10752.83,80387104,11383823,"-",10677.49,10523.17,10529.78,10604.86,10693.75,10750.29,10696.94
"2018-05-14",10649.11,10671.46,37.16,"0.35%",10641.29,10723.79,82650272,12073718,"-",10686.48,10561.1,10527,10601.38,10679.5,10747.57,10701.84
"2018-05-15",10692.82,10747.99,76.53,"0.72%",10632.55,10747.99,75523192,10584184,"-",10694.52,10603.46,10530.05,10605.29,10669.71,10745.95,10710.19
"2018-05-16",10713.59,10701.32,-46.67,"-0.43%",10691.14,10776.43,74351808,10766647,"-",10696.97,10639.3,10534.03,10603.47,10658.15,10741.12,10715.67
"2018-05-17",10702.07,10635.5,-65.82,"-0.62%",10615.92,10713.71,64552428,9293264,"-",10678.11,10656.99,10546.05,10595.7,10647.76,10736.7,10726.24
"2018-05-18",10623.91,10672.52,37.02,"0.35%",10557.75,10679.51,69089384,9635289,"-",10685.76,10681.62,10555.12,10589.69,10637.86,10732.64,10732.58
"2018-05-21",10741.19,10765.35,92.83,"0.87%",10731.61,10789.76,87440456,12199707,"-",10704.54,10695.51,10563.47,10590.06,10630.05,10727.79,10739.3
"2018-05-22",10754.7,10765.81,0.46,"0.00%",10689.51,10765.8,74771776,10569672,"-",10708.1,10701.31,10581.31,10592.76,10624.68,10725,10744.86
"2018-05-23",10746.82,10631.12,-134.68,"-1.25%",10631.12,10746.82,80879424,11191411,"-",10694.06,10695.51,10596.33,10592.02,10618.53,10717.25,10744.4
"2018-05-24",10632.5,10564.13,-66.99,"-0.63%",10552.35,10657.45,70573336,9990447,"-",10679.79,10678.95,10596.7,10585.31,10621.63,10704.63,10742.76
"2018-05-25",10550.63,10448.23,-115.9,"-1.10%",10435.95,10576.81,77834320,10415652,"-",10634.93,10660.34,10591.76,10573.3,10618.73,10687.07,10735.3
